月份,开户行所在省,账户数量
202001,中国银行安徽省分行,3331
202001,中国银行湖北省分行,4658
202001,中国银行海南省分行,1520
202001,中国银行江苏省分行,8284
202001,中国银行内蒙古自治区分行,838
202001,中国银行浙江省分行,7605
202001,中国银行云南省分行,4117
202001,中国银行新疆维吾尔自治区分行,1788
202001,中国银行青海省分行,145
202001,中国银行四川省分行,4882
202001,中国银行陕西省分行,2268
202001,中国银行广东省分行,27829
202001,中国银行福建省分行,8544
202001,中国银行湖南省分行,4861
202001,中国银行天津市分行,1200
202001,中国银行山东省分行,3680
202001,中国银行青岛市分行,937
202001,中国银行西藏自治区分行,29
202001,中国银行河南省分行,5238
202001,中国银行山西省分行,1671
202001,中国银行重庆市分行,1995
202001,中国银行黑龙江省分行,1668
202001,中国银行吉林省分行,1130
202001,中国银行宁夏回族自治区分行,254
202001,中国银行辽宁省分行,2539
202001,中国银行江西省分行,3750
202001,中国银行甘肃省分行,530
202001,中国银行广西壮族自治区分行,3044
202001,中国银行上海市分行,3275
202001,中国银行贵州省分行,1135
202001,中国银行北京市分行,4049
202001,中国银行河北省分行,3907
